LOADED TRAINER
LOADED GEN NUMBER:  999
Gen: 1097, Best Score: -144.3414133947948, Avg Score: -7.857587850672746e+54, Time: 0.1281438277827369
Gen: 1098, Best Score: -144.3414133947948, Avg Score: -3.129437994702765e+56, Time: 0.12916807081964282
Gen: 1099, Best Score: -144.3414133947948, Avg Score: -1.3699321435350558e+53, Time: 0.13021544701523252
Validation champ met/exceeded the best test score with (UUID('fe3b27f9-b4b0-44e2-8488-2f6567200dc6'), {'validation': -2.2969996318279622e+24}) on test data.
Gen: 1100, Best Score: -140.33706432234385, Avg Score: -1.0903954667540511e+27, Time: 0.13315631502204472
Gen: 1101, Best Score: -141.03530940555135, Avg Score: -1.5488640506640787e+42, Time: 0.13427896479765575
Gen: 1102, Best Score: -143.4307770382041, Avg Score: -5.929298331148762e+55, Time: 0.13537838439146677
Gen: 1103, Best Score: -143.94717738495027, Avg Score: -1.6042406603323617e+57, Time: 0.1364665773179796
Gen: 1104, Best Score: -143.94717738495027, Avg Score: -3.0876578240626887e+69, Time: 0.1376381567451689
Gen: 1105, Best Score: -143.94717738495027, Avg Score: -1.842956047444553e+53, Time: 0.13867285311222077
Gen: 1106, Best Score: -143.94717738495027, Avg Score: -2.3207761902226093e+49, Time: 0.13969901422659556
Gen: 1107, Best Score: -143.94717738495027, Avg Score: -9.734694818304293e+68, Time: 0.1407702655924691
Gen: 1108, Best Score: -143.94717738495027, Avg Score: -9.908919016037377e+56, Time: 0.14188136484887864
Gen: 1109, Best Score: -144.3414133947948, Avg Score: -3.99798658661736e+49, Time: 0.14296451422903272
Validation champ met/exceeded the best test score with (UUID('fed0738e-775d-470b-840d-6ead61685e83'), {'validation': -140.48131344004233}) on test data.
Gen: 1110, Best Score: -140.26708293567032, Avg Score: -1.0467236690335244e+44, Time: 0.145928782025973
Gen: 1111, Best Score: -144.19790037810287, Avg Score: -6.323449076607448e+67, Time: 0.14706146174006993
Gen: 1112, Best Score: -144.19790037810287, Avg Score: -1.2519769287460618e+50, Time: 0.14818459490935007
Gen: 1113, Best Score: -144.19790037810287, Avg Score: -1.5362670947510664e+55, Time: 0.1492575544781155
