offset,duration_ppq,pitch
34.07143425,0.25,
34.28572,0.25,
34.50000575,0.25,
34.7142915,0.25,
34.7142915,0.5,
34.92857725,0.25,
35.142863,0.25,
35.35714875,0.25,
35.5714345,0.25,
35.78572025,0.25,
36.000006,0.25,
36.000006,0.5,
36.21429175,0.25,
36.4285775,0.25,
36.64286325,0.25,
36.857149,0.25,
37.07143475,0.25,
37.2857205,0.25,
37.2857205,0.5,
37.50000625,0.25,
37.714292,0.25,
37.92857775,0.25,
38.1428635,0.25,
38.35714925,0.25,
38.571435,0.25,
38.571435,0.75,
38.78572075,0.25,
39.0000065,0.25,
39.21429225,0.25,
39.428578,0.25,
39.64286375,0.25,
39.8571495,0.25,
39.8571495,0.75,
40.07143525,0.25,
40.285721,0.25,
40.50000675,0.25,
40.7142925,0.25,
40.92857825,0.25,
41.142864,0.25,
41.142864,0.75,
41.35714975,0.25,
41.5714355,0.25,
41.78572125,0.25,
42.000007,0.25,
42.21429275,0.25,
42.4285785,0.25,
42.4285785,0.5,
42.64286425,0.25,
42.85715,0.25,
43.07143575,0.25,
43.2857215,0.25,
43.50000725,0.25,
43.714293,0.25,
43.92857875,0.25,
44.1428645,0.25,
44.35715025,0.25,
44.571436,0.25,
44.78572175,0.25,
45.0000075,0.25,
45.21429325,0.25,
45.428579,0.25,
45.64286475,0.25,
45.8571505,0.25,
46.07143625,0.25,
46.285722,0.25,
46.285722,0.5,
46.50000775,0.25,
46.7142935,0.25,
46.92857925,0.25,
47.142865,0.25,
47.35715075,0.25,
47.5714365,0.25,
47.5714365,0.5,
47.78572225,0.25,
48.000008,0.25,
48.21429375,0.25,
48.4285795,0.25,
48.64286525,0.25,
48.857151,0.25,
48.857151,0.5,
49.07143675,0.25,
49.2857225,0.25,
49.50000825,0.25,
49.714294,0.25,
49.92857975,0.25,
50.1428655,0.25,
50.35715125,0.25,
50.571437,0.25,
50.78572275,0.25,
51.0000085,0.25,
51.21429425,0.25,
51.42858,0.25,
51.42858,0.5,
51.64286575,0.25,
51.8571515,0.25,
52.07143725,0.25,
52.285723,0.25,
52.50000875,0.25,
52.7142945,0.25,
52.7142945,0.5,
52.92858025,0.25,
53.142866,0.25,
53.35715175,0.25,
53.5714375,0.25,
53.78572325,0.25,
54.000009,0.25,
54.000009,0.5,
54.21429475,0.25,
54.4285805,0.25,
54.64286625,0.125,
54.64286625,0.125,
54.64286625,0.125,
54.64286625,0.125,
54.857152,0.125,
54.857152,0.125,
54.857152,0.125,
54.857152,0.125,
55.07143775,0.125,
55.07143775,0.125,
55.07143775,0.125,
55.07143775,0.125,
55.07143775,0.125,
55.07143775,0.125,
55.2857235,0.25,
55.2857235,1.0,
55.50000925,0.25,
55.714295,0.25,
55.92858075,0.25,
56.1428665,0.25,
56.1428665,0.375,
56.35715225,0.25,
56.46429513,0.125,
56.571438,0.25,
56.571438,0.5,
56.78572375,0.25,
